id,first_name,last_name,phone,email,province,district,land_address,area_rai,area_ngan,area_wa,asking_price,title_deed_type,notes,status,created_at,images,pdf_url
32c7e77e-5fe9-4fd8-bd42-6107358bf091,อนุชา,รักษ์ไทย,0812223344,anucha.r@email.com,เชียงใหม่,สารภี,78 หมู่ 2 ต.ยางเนิ้ง อ.สารภี,3,0,80,5200000,โฉนดที่ดิน,ใกล้ห้างสรรพสินค้า ทำเลดีมาก,contacted,2026-03-20 07:54:32.029124+00,[],
3469b03d-c274-4a3a-abb2-2f4df93f2149,สมชาย,ใจดี,0812345678,somchai@email.com,เชียงใหม่,หางดง,123 หมู่ 5 ต.หางดง อ.หางดง,2,1,50,3500000,โฉนดที่ดิน,ติดถนนลาดยาง วิวภูเขา เหมาะสร้างบ้าน,new,2026-03-29 07:54:32.029124+00,[],
43d8d98e-b983-4d7f-bfc8-bb73942a5dc2,test1,-,030303003,parin@tet.com,,,ddd,3,3,43,33,,ประเภทการขาย: แบ่งขาย,new,2026-03-31 09:38:33.789418+00,[],https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/land-inquiry-images/1774949911124-hxdd93eqqne.pdf
487f14bb-bfad-423b-8117-38bf2d27fb27,ทดสอบ,ระบบ,0999999999,,,,,0,0,0,,,,new,2026-03-30 08:08:04.167059+00,[],
6bb7bf3f-b36a-4de5-ae0b-4b3bb79f1fcb,ทดสอบ,ฟอร์ม,0811111111,,เชียงใหม่,หางดง,,,,,,,,new,2026-03-30 08:08:48.228395+00,[],
87ffaaa6-e5a7-48fd-b68b-7290acc84697,วิภา,สุขสันต์,0898765432,wipa@gmail.com,เชียงใหม่,สันกำแพง,45/2 ต.สันกำแพง อ.สันกำแพง,1,2,0,1800000,น.ส.3ก,ใกล้แหล่งน้ำ มีต้นไม้ร่มรื่น,contacted,2026-03-27 07:54:32.029124+00,[],
8a9aed47-1f22-4899-bfe2-a13667ee4bcd,นิภา,ทองดี,0723456789,nipha.t@hotmail.com,เชียงใหม่,แม่ริม,12 หมู่ 7 ต.แม่ริม อ.แม่ริม,0,3,20,950000,น.ส.3,วิวดอย อากาศดี,new,2026-03-23 07:54:32.029124+00,[],
925f1f45-9b8a-458e-8a1b-b9175d52a611,ประเสริฐ,มีสุข,0654321987,,เชียงใหม่,ดอยสะเก็ด,89 หมู่ 3 ต.เชิงดอย อ.ดอยสะเก็ด,5,0,0,8000000,โฉนดที่ดิน,ที่ดินแปลงใหญ่ ติดถนนหลัก เหมาะทำโครงการ,new,2026-03-25 07:54:32.029124+00,[],
b0625a9a-b8d9-47d5-a63e-23055a167334,มาลี,ชื่นบาน,0667788990,,เชียงใหม่,เมือง,200 หมู่ 1 ต.ฟ้าฮ่าม อ.เมืองเชียงใหม่,0,1,60,2200000,โฉนดที่ดิน,,new,2026-03-16 07:54:32.029124+00,[],
d3d8d4f5-1469-4f03-8a52-b54ca9775102,test3,-,0000999,test@test.com,,,e,4,4,4,3,,ประเภทการขาย: แบ่งขาย,contacted,2026-03-31 09:39:36.687781+00,"[""https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/land-inquiry-images/1774949975475-61qnw7k7c4p.png""]",
ef430f6b-986d-44d2-84e0-150fa34bb6f1,test34,-,3,4@d,,,3,3,3,3,3,,ประเภทการขาย: ขายเหมา,new,2026-03-31 09:43:06.3423+00,"[""https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/land-inquiry-images/1774950184532-5ik74qbcg79.png""]",
